X,molecule,Value,logTox,Value_mmol,logToxm,stars,amine,amidine,acid,amide,rotor,rtvFG,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip.2.V,ACxDN..5.SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo.w,QPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP.eV.,EA.eV.,SAfluorine,SAamideO,PSA,NandO,RuleOf5,ringatoms,in34,in56,noncon,nonHatm,HOMO_AM1,LUMO_AM1,dE,Species,Measure,Time.h.,aveTOX,EA.AM1,IA.AM1,Chem.Pot
143,100016,125,4.828313737,0.91,-0.1,1,0,0,0,0,2,0,138.13,9.81,318.88,0,158.47,160.42,0,479.16,1.5,2,0.2,0.01,0.93,13.27,5.32,10.08,6.38,1.57,-0.33,-3.45,311.29,-0.78,140.13,-3.68,9.08,0.76,0,0,70.98,4,0,6,0,6,0,10,-9.16,-0.7,8.46,Fathead,LC50,96,125,0.7,9.16,-4.93
144,100027,44.8,3.802208139,0.32,-1.13,4,0,0,0,0,2,0,139.11,6.42,315.56,0,151.34,164.22,0,472.28,1,1.75,0.09,0.01,0.93,13.03,5.11,7.55,5.37,1.9,-0.88,-3.46,363.7,-0.73,165.79,-3.54,10.72,1.25,0,0,67.07,4,0,6,0,6,0,10,-10.54,-1.24,9.3,Fathead,LC50,96,44.8,1.24,10.54,-5.89
145,100107,45.7,3.822098298,0.31,-1.18,1,0,0,0,0,2,0,149.19,5.83,374.53,172.8,77.19,124.54,0,591.4,0,3,0.06,0,0.91,17.42,5.19,7.43,4.51,1.07,-1.23,-3.59,1836.18,-0.18,954.14,-2.31,8.25,0.15,0,0,40.1,2,0,6,0,6,0,11,-8.54,-0.18,8.36,Fathead,LC50,96,45.7,0.18,8.54,-4.36
146,100254,0.71,-0.342490309,0,-5.47,4,0,0,0,0,2,0,168.11,0.01,342.51,0,193.93,148.58,0,522.76,0,2,1.00E-07,0,0.92,14.9,5.5,5.85,4.4,1.09,-1.36,-3.6,143.52,-1.1,60.68,-4.38,11.48,2.38,0,0,89.31,6,0,6,0,6,0,12,-11.34,-2.21,9.14,Fathead,LC50,96,0.71,2.21,11.34,-6.775
561,10031820,28.1,3.335769576,0.19,-1.68,1,0,0,0,0,3,0,150.18,5.12,360.52,150.09,75.73,134.71,0,567.77,0,2.75,0.05,0,0.92,15.93,5.09,6.61,4.07,1.68,-1.48,-3.47,1895.81,-0.21,987.68,-2.15,9.43,0.43,0,0,45.55,2,0,6,0,6,0,11,-9.32,-0.34,8.97,Fathead,LC50,96,28.1,0.34,9.32,-4.83
147,100378,1780,7.484368643,15.2,2.72,6,1,0,0,0,5,0,117.19,1.8,335.72,294.05,41.67,0,0,525.75,1,3.7,0.01,0.01,0.94,11.68,3.87,6.12,4.82,0.17,0.7,-3.26,994.64,0.35,544.14,-3.87,9.35,-2.96,0,0,23.99,2,0,0,0,0,0,8,-8.98,2.93,11.91,Fathead,LC50,96,1780,-2.93,8.98,-3.025
148,100414,10.5,2.351375257,0.1,-2.31,8,0,0,0,0,1,0,106.17,0.35,324.43,129.64,0,194.79,0,492.01,0,0,0,0,0.93,14.75,4.25,3.89,0.57,3.15,-2.78,-3.61,9906.04,0.45,5899.29,-0.74,9.6,-0.41,0,0,0,0,0,6,0,6,0,8,-9.38,0.53,9.91,Fathead,LC50,96,10.5,-0.53,9.38,-4.425
149,100469,102,4.624972813,0.95,-0.05,4,1,0,0,0,2,0,107.16,1.6,311.17,49.17,60.92,201.08,0,465.42,2,1,0.01,0,0.93,13.11,4.93,7.12,5.72,0.76,0.53,-4.3,653.23,0.38,345.41,-3.81,9.52,-0.36,0,0,27.05,1,0,6,0,6,0,8,-9.46,0.46,9.92,Fathead,LC50,96,102,-0.46,9.46,-4.5
150,100527,9.87,2.289499853,0.09,-2.38,6,0,0,0,0,1,0,106.12,3.61,298.97,18.68,75.78,204.52,0,444.08,0,2,0.03,0,0.94,12.93,4.46,5.14,4.09,1.48,-1.11,-3.45,1893.54,-0.07,986.39,-2.1,10.05,0.51,0,0,36.75,1,0,6,0,6,0,8,-10,-0.43,9.57,Fathead,LC50,96,9.87,0.43,10,-5.215
151,100618,100,4.605170186,0.93,-0.07,4,0,0,0,0,1,0,107.16,2.08,313.79,88.57,24.03,201.19,0,469.29,1,1,0.01,0,0.93,13.91,4.46,5.84,4.24,2.13,-0.9,-3.61,5861.13,0.32,3345.39,-1.16,8.05,-0.63,0,0,14.07,1,0,6,0,6,0,8,-8.12,0.77,8.89,Fathead,LC50,96,100,-0.77,8.12,-3.675
